,title,Rate,No_of_Ratings,Format,ReleaseYear,Directed_By,Starring,Price
132,Act of Valor,4.7,9054,Prime Video,2012.0,"Mike McCoy,Scott Waugh","Roselyn Sanchez,Nestor Serrano,Rorke Denver",4.99
133,Observe and Report,4.5,1285,Prime Video,2009.0,Jody Hill,"Seth Rogen,Anna Faris,Michael PeÃ±a,Celia Weston",2.99
134,Indiana Jones and the Dial of Destiny (Bonus Content and X-Ray Features),4.6,6305,Prime Video,2023.0,James Mangold,"Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen",19.99
135,Tom & Jerry,4.5,12869,Prime Video,2021.0,Tim Story,"ChloÃ« Moretz,Michael PeÃ±a,Colin Jost,Rob Delaney",3.79
136,"Love & Murder: Atlanta Playboy, Pt. 2",4.5,2,Prime Video,2023.0,Jaira Thomas,"Taye Diggs,Keesha Sharp,Rob Brown,Ciera Payton",3.79
137,The Hot Chick,4.7,8715,Prime Video,2002.0,Tom Brady,"Rob Schneider,Anna Faris,Matthew Lawrence",3.79
138,Greater,4.8,3969,Prime Video,2016.0,David Hunt,"Neal McDonough,Chris Severio,Leslie Easterbrook",3.79
139,Extraction,4.2,2092,Prime Video,2015.0,Steven Miller,"Kellan Lutz,Bruce Willis,Gina Carano,D.B. Sweeney",3.79
140,Saw III,4.5,2562,Prime Video,2006.0,Darren Lynn Bousman,"Tobin Bell,Shawnee Smith,Bahar Soomekh",3.99
141,Fools Rush In,4.8,5717,Prime Video,1997.0,Andy Tennant,"Matthew Perry,Salma Hayek,Jon Tenney,Jill Clayburgh",3.59
142,Legally Blonde,4.8,17794,Prime Video,2001.0,Robert Luketic,"Reese Witherspoon,Luke Wilson,Selma Blair",3.59
143,Blitz,4.4,1431,Prime Video,2011.0,Elliott Lester,"Jason Statham,Paddy Considine,Aidan Gillen",3.59
144,Saw III,4.5,2562,Prime Video,2006.0,Darren Lynn Bousman,"Tobin Bell,Shawnee Smith,Bahar Soomekh",3.99
