,title,Rate,No_of_Ratings,Format,ReleaseYear,Directed_By,Starring,Price
1589,The Animal,4.6,2431,Prime Video,2001.0,Luke Greenfield,"Rob Schneider,Colleen Haskell,John C. McGinley",3.59
1590,The GiggleBellies: Monster Trucks,4.3,62,Prime Video,2019.0,TheGiggleBellies,The GiggleBellies Monster Trucks,1.99
1591,X-Men: The Last Stand,4.6,10495,Prime Video,2006.0,Brett Ratner,"Hugh Jackman,Halle Berry,Ian McKellen,Famke Janssen",3.79
1592,Night Hunter,4.2,240,Prime Video,2019.0,David Raymond,"Henry Cavill,Ben Kingsley,Alexandra Daddario",3.79
1593,The Final Say,4.9,17,Prime Video,2023.0,Christopher Nolen,"Deborah Joy Winans,Timon Kyle Durrett,Tiffany Snow",3.79
1594,Girl with the Dragon Tattoo,4.7,9193,Prime Video,2011.0,David Fincher,"Daniel Craig,Rooney Mara,Christopher Plummer",3.59
1595,Black Beach/White Beach,4.0,82,Prime Video,2018.0,Ricky Kelly,"Ricky Kelly,Anson Asaka,Dr. Umar Johnson,David Hucks",3.59
1596,Shrooms,4.0,780,Prime Video,2008.0,Paddy Breathnach,"Maya Hazen,Lindsey Haun,Max Kasch,Jack Huston",2.99
1598,Alpha and Omega 2: A Howl-iday Adventure,4.4,548,Prime Video,2013.0,Richard Rich,"Ben Diskin,Kate Higgins,Liza West,Lindsay Torrance",2.99
1599,Tyler Perry's Madea's Neighbors From Hell (Play),4.6,4336,Prime Video,2014.0,Tyler Perry,"Tyler Perry,Cassi Davis,Wes Morgan",3.99
1600,The Hobbit: The Battle of the Five Armies,4.8,27007,Prime Video,2014.0,Peter Jackson,"Martin Freeman,Ian McKellen,Richard Armitage",3.99
1601,Shrek 2,4.8,25403,Prime Video,2004.0,"Andrew Adamson,Kelly Asbury,Conrad Vernon","Mike Myers,Eddie Murphy,Cameron Diaz,Julie Andrews",3.79
1602,Turbo Kid,4.6,950,Prime Video,2015.0,"Anouk Whissell,Francois Simard,Yoann-Karl Whissell","Munro Chambers,Laurence Lebouef,Michael Ironside",1.99
1603,Savannah,4.0,315,Prime Video,2014.0,Annette Haywood-Carter,"Jim Caviezel,Chiwetel Ejiofor,Jaimie Alexander",1.99
1604,Brooklyn's Finest,4.6,1140,Prime Video,2010.0,Antoine Fuqua,"Don Cheadle,Ethan Hawke,Richard Gere,Wesley Snipes",1.99
1606,Mrs. Palfrey At The Claremont,4.7,3075,Prime Video,2008.0,Dan Ireland,"Joan Plowright,Rupert Friend,ZoÃ« Tapper,Robert Lang",1.99
1607,CrazySexyCool: The TLC Story,4.8,936,Prime Video,2013.0,Charles Stone III,"Keke Palmer,Rochelle Aytes,Evan Ross",17.99
1608,Airspeed,4.1,115,Prime Video,2004.0,Robert Tinnell,"Elisha Cuthbert,Joe Mantegna",17.99
1609,Kellen Erskine: Zoomed Out,4.6,3,Prime Video,2022.0,Brian Volk-Weiss,Kellen Erskine,17.99
1610,Cartoon Classics - Vol. 3: 25 Favorite Cartoons - 3 Hours,4.5,322,Prime Video,2017.0,"Max Fleischer,Tex Avery","Bugs Bunny,Daffy Duck,Casper the Friendly Ghost",17.99
1611,The More You Ignore Me,4.2,168,Prime Video,2020.0,Keith English,"Ella Hunt,Sheridan Smith,Mark Addy,Sally Phillips",17.99
1612,Gone Girl,4.6,25865,Prime Video,2014.0,David Fincher,"Ben Affleck,Rosamund Pike,Neil Patrick Harris",3.79
1613,Ready Player One,4.7,61727,Prime Video,2018.0,Steven Spielberg,"Tye Sheridan,Olivia Cooke,Ben Mendelsohn,T.J. Miller",3.79
1614,Senior Moment,4.0,5443,Prime Video,2021.0,Giorgio Serafini,"William Shatner,Jean Smart,Christopher Lloyd",2.99
1615,The strange case of the claustrophobic ghost,4.0,1,Prime Video,2023.0,Alejandro Sugich L.A.,"Lukas Urkijo,Ana Emilia,Fausto Espejel,Danae Reynaud",2.99
1616,Brotherhood,4.3,73,Prime Video,2011.0,Wayne Rose,Steven Seagal,2.99
1617,Time Simply Passes,4.7,37,Prime Video,2018.0,Ty Flowers,"James Joseph Richardson,Mark Lane,Janet Reno",2.99
1618,The Way of the West (2011),4.0,114,Prime Video,2011.0,Wyeth Clarkson (S. Wyeth Clarkson),"Jessica ParÃ©,Tony Munch,George Buza,Andrew W. Walker",2.99
1619,The Autopsy of Jane Doe,4.6,4032,Prime Video,2016.0,Andre Ovredal,"Brian Cox,Emile Hirsch,Ophelia Lovibond",9.99
1620,A Star Is Born (1976),4.6,10831,Prime Video,1976.0,Frank Pierson,"Barbra Streisand,Kris Kristofferson,Gary Busey",2.99
1621,Eight Men Out,4.7,1101,Prime Video,1988.0,John Sayles,"Charlie Sheen,Christopher Lloyd,Clifton James",2.99
1622,The Indian Fighter,4.5,183,Prime Video,1955.0,Andre De Toth,"Kirk Douglas,Elsa Martinelli,Walter Matthau",2.99
1624,The Blair Witch Project,4.3,9630,Prime Video,1999.0,"Daniel Myrick,Eduardo Sanchez","Heather Donahue,Joshua Leonard,Michael C. Williams",3.99
1625,Unacknowledged: An Expose of the World's Greatest Secret,4.4,2442,Prime Video,2017.0,Michael Mazzola,"Steven M. Greer,Giancarlo Esposito,Richard Doty",2.99
1626,Gary Owen: #DoinWhatIDo,4.6,918,Prime Video,2019.0,Brian Volk-Weiss,Gary Owen,2.99
1627,Tyler Perry's Daddy's Little Girls,4.8,1171,Prime Video,2007.0,Tyler Perry,"Gabrielle Union,Idris Elba,Louis Gossett Jr.",2.99
1628,It Follows,4.3,8532,Prime Video,2015.0,David Robert Mitchell,"Maika Monroe,Keir Gilchrist,Daniel Zovatto",3.99
1629,The Red Violin,4.8,2402,Prime Video,1999.0,FranÃ§ois Girard,"Samuel L. Jackson,Carlo Cecchi,Irene Grazioli",3.99
1630,Legends of Oz: Dorothy's Return,4.5,647,Prime Video,2014.0,Will Finn,"Lea Michele,Martin Short,Bernadette Peters",3.99
1631,Mem Famous,4.8,13,Prime Video,2023.0,Sumanth Prabhas,"Sumanth Prabhas,Saarya Laxman,Mani Aegurla",1.99
1633,The Final Say,4.9,17,Prime Video,2023.0,Christopher Nolen,"Deborah Joy Winans,Timon Kyle Durrett,Tiffany Snow",1.99
1635,Absolutely Anything,4.0,1396,Prime Video,2017.0,Terry Jones,"Simon Pegg,Kate Beckinsale,Sanjeev Bhaskar,Rob Riggle",3.99
1636,Princess Caraboo,4.5,245,Prime Video,1994.0,Michael Austin,"Phoebe Cates,Kevin Kline,John Lithgow,Stephen Rea",3.99
1637,The More You Ignore Me,4.2,168,Prime Video,2020.0,Keith English,"Ella Hunt,Sheridan Smith,Mark Addy,Sally Phillips",3.99
1638,Trial by Fire,4.4,591,Prime Video,2019.0,Edward Zwick,"Laura Dern,Emily Meade",3.79
1640,The Last Keepers,4.3,712,Prime Video,2013.0,Maggie Greenwald,"Virginia Madsen,Aidan Quinn,Zosia Mamet",3.79
1641,Legends of Oz: Dorothy's Return,4.5,647,Prime Video,2014.0,Will Finn,"Lea Michele,Martin Short,Bernadette Peters",3.79
1644,Blood Father,4.4,4371,Prime Video,2016.0,Jean-FranÃ§ois Richet,"Mel GIbson,William H Macy,Erin Moriarty",3.79
1645,Eden Lake,4.1,1574,Prime Video,2008.0,James Watkins,"Kelly Reilly,Michael Fassbender,Jack O'Connell",3.79
1646,Chato's Land,4.3,796,Prime Video,1972.0,Michael Winner,"Charles Bronson,Jack Palance,James Whitmore",3.79
1647,Night Ambush,4.3,192,Prime Video,1958.0,"Powell,Michael,Pressburger,Emeric","Christopher Lee,Dirk Bogarde,Marius Goring",3.79
1648,Bongwater,4.2,86,Prime Video,2013.0,Richard Sears,"Luke Wilson,Alicia Witt,Amy Locane,Brittany Murphy",3.79
1650,Masters Of The Universe,4.7,4150,Prime Video,1987.0,Gary Goddard,"Dolph Lundgren,Frank Langella,Meg Foster",3.79
1651,Absolutely Anything,4.0,1396,Prime Video,2017.0,Terry Jones,"Simon Pegg,Kate Beckinsale,Sanjeev Bhaskar,Rob Riggle",3.99
1652,Big Momma's House 2,4.7,2547,Prime Video,2006.0,John Whitesell,"Martin Lawrence,Nia Long,Emily Procter,Zachary Levi",3.59
1653,Run the Race,4.6,1236,Prime Video,2019.0,Chris Dowling,"Tanner Stine,Kristoffer Polaha",3.99
1654,I Can Do Bad All By Myself (Stage Play),4.0,18,Prime Video,2002.0,Tyler Perry,"Tyler Perry,David Mann,Tamela Mann",3.99
1655,Plan A,4.1,519,Prime Video,2022.0,"Doron Paz,Yoav Paz","August Diehl,Sylvia Hoeks,Michael Aloni",1.99
1656,The Last Keepers,4.3,712,Prime Video,2013.0,Maggie Greenwald,"Virginia Madsen,Aidan Quinn,Zosia Mamet",1.99
1657,Scary Movie,4.5,8074,Prime Video,2000.0,Keenen Ivory Wayans,"Regina Hall,Carmen Electra,Anna Faris,Jon Abrahams",1.99
1658,Fright Night (1985),4.7,8404,Prime Video,1985.0,Tom Holland,"Chris Sarandon,William Ragsdale,Roddy McDowall",3.59
1659,Horrible Bosses 2,4.6,10710,Prime Video,2014.0,Sean Anders,"Jason Bateman,Charlie Day,Jason Sudeikis",3.79
1660,Jinkx Monsoon: Red Head Redemption,4.4,286,Prime Video,2023.0,Brian Volk-Weiss,Jinkx Monsoon,3.99
1661,Brad Williams Fun Size,4.7,294,Prime Video,2015.0,Scott L. Montoya,Brad Williams,1.99
1662,Beyonce & Jay-Z: Power Love,4.2,5,Prime Video,2021.0,Jordan Hill,"Beyonce Knowles,Jay-Z",1.99
1663,Christmas on Holly Lane,4.5,232,Prime Video,2018.0,Michael Scott,"Sarah Lancaster,Karen Holness,Gina Holden",1.99
1664,King Arthur,4.6,5945,Prime Video,2004.0,Antoine Fuqua,"Clive Owen,Keira Knightley,Ioan Gruffudd",3.79
1665,The Hound Of The Baskervilles (1959),4.6,511,Prime Video,1959.0,Terence Fisher,"Peter Cushing,Andre Morell,Christopher Lee",3.79
1666,The Inheritance,4.5,1147,Prime Video,1997.0,Bobby Roth,"Cari Shayne,Brigitta Dau,Brigid Brannagh",3.79
1668,The Place Beyond The Pines,4.5,4095,Prime Video,2013.0,Derek Cianfrance,"Ryan Gosling,Ray Liotta,Bradley Cooper,Eva Mendes",3.79
1669,The Hobbit: The Desolation of Smaug,4.8,33990,Prime Video,2013.0,Peter Jackson,"Ian McKellen,Martin Freeman,Richard Armitage",3.99
1670,Some Kind of Hero,4.4,258,Prime Video,1982.0,Michael Pressman,"Richard Pryor,Margot Kidder,Ray Sharkey,Ronny Cox",3.79
1671,Spider-Man: No Way Home (Bonus Content),4.8,79317,Prime Video,2021.0,Jon Watts,"Tom Holland,Zendaya,Benedict Cumberbatch,Jon Favreau",12.99
1672,Halloween II,4.6,5405,Prime Video,1981.0,Rob Zombie,"Scout Taylor-Compton,Tyler Mane,Malcolm McDowell",3.99
1673,Leonie,4.1,783,Prime Video,2010.0,Hisako Matsui,"Emily Mortimer,Christina Hendricks,Mary Kay Place",3.99
1674,Little Shop of Horrors,4.8,17706,Prime Video,1986.0,Frank Oz,"Levi Stubbs,Rick Moranis,Ellen Greene",3.99
1675,Man of Tai Chi,4.4,2431,Prime Video,2013.0,Keanu Reeves,"Keanu Reeves,Tiger Hu Chen,Karen Mok,Simon Yam",3.99
1676,American Ultra,4.3,9008,Prime Video,2015.0,Nima Nourizadeh,"Jesse Eisenberg,Kristen Stewart,Topher Grace",3.99
1677,Battle for Sevastopol,4.4,3020,Prime Video,2016.0,Sergei Mokritsky,"Yulia Peresild,Joan Blackham,Eugeniy Tsiganov",3.99
1679,Renfroe's White Christmas,5.0,6,Prime Video,1997.0,Charles B. Pierce,"Nicholas Todd,Daniel Glover,Aaron Bohl",2.99
1680,Rain Man,4.7,5486,Prime Video,1988.0,Barry Levinson,"Dustin Hoffman,Tom Cruise,Valeria Golino",3.89
1681,Madea's Big Happy Family (Play),4.8,2737,Prime Video,2010.0,Tyler Perry,"Chandra Currelley-Young,Tyler Perry,Cassi Davis",3.99
1684,The Players Club,4.1,28,Prime Video,1998.0,Ice Cube,"Bernie Mac,Monica Calhoun,AJ Johnson,Ice Cube",3.99
1685,Munchies,4.0,148,Prime Video,1987.0,Tina Hirsch,"Harvey Korman,Charlie Stratton,Nadine Van der Velde",3.99
1686,You're Not Alone,4.0,552,Prime Video,2020.0,Eduardo Rodriguez,"Katia Winter,Julee Cerda,Zach Avery,Richard Bekins",3.99
1687,Robo,4.3,73,Prime Video,2020.0,Sarik Andreasyan,"Vladimir Vdovichenkov,Maria Mironova",3.99
1688,Alpha and Omega: Dino Digs,4.5,164,Prime Video,2016.0,Tim Maltby,"Ben Diskin,Kate Higgins,Erin Fitzgerald,Chris Smith",3.99
1689,The Living Daylights,4.6,2162,Prime Video,1987.0,John Glen,"Timothy Dalton,Maryam D'abo,Jeroen Krabbe",3.99
1690,Jim Gaffigan: Noble Ape,4.4,720,Prime Video,2018.0,Jeannie Gaffigan,Jim Gaffigan,3.99
1691,Antwone Fisher,4.8,3937,Prime Video,2003.0,---,"Denzel Washington,Derek Luke",3.99
1692,Gunless,4.4,402,Prime Video,2010.0,William Phillips,"Paul Gross,Sienna Guillory,Dustin Milligan",3.99
1693,A Bold Affair,5.0,1,Prime Video,1998.0,Rick Jacobson,"Jeff Trachta,Schae Harrison,Sandra Dee Robinson",3.99
1694,Shania: A Life in Eight Albums,4.4,32,Prime Video,2005.0,Jerry Ciccoritti,"Meredith Henderson,Megan Follows,Diego Klattenhoff",3.99
1695,Death Sentence,4.5,2638,Prime Video,2007.0,James Wan,"Kevin Bacon,Kelly Preston,Garrett Hedlund",3.99
1696,Tornado Valley,4.2,294,Prime Video,2009.0,Andrew C. Erin,"Meredith Monroe,Cameron Bancroft,Pascale Hutton",3.99
1697,The Cabin in the Woods,4.5,13301,Prime Video,2012.0,Drew Goddard,"Kristen Connolly,Chris Hemsworth,Anna Hutchison",3.99
1698,Secretary,4.3,6998,Prime Video,2002.0,Steven Shainberg,"James Spader,Maggie Gyllenhaal,Jeremy Davies",3.99
1699,Trial by Fire,4.4,591,Prime Video,2019.0,Edward Zwick,"Laura Dern,Emily Meade",3.79
1700,The Matchmaker's Playbook,4.3,1679,Prime Video,2018.0,Tosca Musk,"Caitlin Carver,Justene Alpert,Tyler Johnson",3.99
1701,Anchorman: The Legend of Ron Burgundy,4.6,17299,Prime Video,2004.0,Adam McKay,"Will Ferrell,Christina Applegate,Steve Carell",3.99
1702,The Menu,4.2,4974,Prime Video,2022.0,Mark Mylod,"Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult",2.99
1703,The Wizard of Oz,4.8,9083,Prime Video,1939.0,Victor Fleming,"Judy Garland,Ray Bolger,Jack Haley,Bert Lahr",2.99
1704,Spaceballs,4.8,13028,Prime Video,1987.0,Mel Brooks,"Mel Brooks,John Candy,Rick Moranis,Bill Pullman",3.99
1705,Shutter,4.3,1764,Prime Video,2008.0,Masayuki Ochiai,"Joshua Jackson,Rachael Taylor,John Hensley",3.99
1706,Invisible Life,4.0,147,Prime Video,2019.0,Karim Ainouz,"Julia Stockler,Carol Duarte,Flavia Gusmao",3.99
1707,SECOND CHANCE CHRISTMAS,4.2,155,Prime Video,2017.0,Danny Buday,"Katrina Begin,Tilky Jones,Charlene Tilton",3.99
1708,The Dark Knight,4.7,26252,Prime Video,2008.0,Christopher Nolan,"Christian Bale,Heath Ledger,Maggie Gyllenhaal",3.99
1709,Jeepers Creepers,4.6,7200,Prime Video,2001.0,Victor Salva,"Justin Long,Gina Philips,Patricia Belcher",3.99
1710,Conan The Barbarian,4.3,3966,Prime Video,2011.0,Marcus Nispel,"Ron Perlman,Rachel Nichols,Stephen Lang,Rose McGowan",3.99
1711,The Silence of the Lambs,4.8,17569,Prime Video,1991.0,Jonathan Demme,"Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine",3.99
1712,Prospect,4.1,1461,Prime Video,2018.0,"Christopher Caldwell,Zeek Earl","Sophie Thatcher,Pedro Pascal,Jay Duplass",3.99
1713,Elephants of Kilimanjaro,4.0,3,Prime Video,2022.0,Marjolein Duermeijer,Simon Shrimpton Smith,2.99
1714,The Matrix,4.7,26702,Prime Video,1999.0,"Lilly Wachowski,Lana Wachowski,Bruce Hunt","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",3.99
1715,Call Me: The Rise and Fall of Heidi Fleiss,4.4,95,Prime Video,2004.0,Charles McDougall,"Jamie-Lynn Sigler,Saul Rubinek,Emmanuelle Vaugier",3.99
1716,Real Crime A Very Special Constable: Nisha Patel,4.5,2,Prime Video,2008.0,Tom Whitter,Mark Austin,3.99
1717,John Wick,4.8,105415,Prime Video,2014.0,Chad Stahelski,"Keanu Reeves,Michael Nyqvist,Alfie Allen,Willam Dafoe",3.99
1718,Don't Worry Darling,4.2,3130,Prime Video,2022.0,Olivia Wilde,"Florence Pugh,Harry Styles,Olivia Wilde,Gemma Chan",3.99
1719,The Presidio,4.6,1630,Prime Video,1988.0,Peter Hyams,"Sean Connery,Mark Harmon,Meg Ryan,Jack Warden",3.79
1720,Lady Mobster,4.7,22,Prime Video,1988.0,John Llewellyn Moxey,"Susan Lucci,Michael Nader,Roscoe Born,Thom Bray",3.79
1721,The Phantom Empire,4.1,156,Prime Video,1989.0,Fred Olen Ray,"Ross Hagen,Jeffrey Combs,Dawn Wildsmith,Robert Quarry",3.79
1722,Legend of the Red Dragon,4.4,187,Prime Video,2002.0,"Jing Wong,Corey Yuen",Jet Li,3.79
1723,Conan The Barbarian,4.3,3966,Prime Video,2011.0,Marcus Nispel,"Ron Perlman,Rachel Nichols,Stephen Lang,Rose McGowan",3.79
1724,Annie,4.8,2957,Prime Video,2014.0,Will Gluck,"QuvenzhanÃ© Wallis,Cameron Diaz,Jamie Foxx",3.99
1725,Return of Sabata,4.1,93,Prime Video,1972.0,Gianfranco Parolini,"Lee Van Cleef,Reiner SchÃ¶ne,Giampiero Albertini",3.99
1726,Koyaanisqatsi,4.6,476,Prime Video,1982.0,Godfry Reggio,"Lou Dobbs,Ted Koppel",3.99
1727,All About My Mother,4.7,927,Prime Video,2000.0,Pedro Almodovar,"Marisa Peredes,Penelope Cruz,Candela Pena",3.59
1728,Shot In The Dark,4.0,10,Prime Video,2022.0,Keene McRae,"Kristoffer McMillan,Keene McRae,Christine Donlon",3.59
1729,Dino Dana The Movie,4.6,15,Prime Video,2020.0,J.J. Johnson,"Michela Luci,Saara Chaudry,Richie Lawrence",3.59
1730,Hereditary,4.3,15836,Prime Video,2018.0,Ari Aster,"Toni Collette,Alex Wolff,Milly Shapiro",3.59
1731,The Silence of the Lambs,4.8,17569,Prime Video,1991.0,Jonathan Demme,"Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine",3.59
1732,The Pink Panther,4.6,3466,Prime Video,2006.0,Shawn Levy,"Steve Martin,Kevin Kline,Jean Reno,Emily Mortimer",3.59
1733,The Cutting Edge,4.7,607,Prime Video,1992.0,Paul Michael Glaser,"D.B. Sweeney,Moira Kelly,Roy Dotrice,Dwier Brown",3.59
1734,All of Me,4.6,1322,Prime Video,1984.0,Carl Reiner,"Steve Martin,Lily Tomlin,Richard Libertini",3.59
1735,Crooklyn,4.8,4268,Prime Video,1994.0,Spike Lee,"Alfre Woodard,Delroy Lindo,David Patrick Kelly",3.59
1736,Brad Williams: Daddy Issues,4.4,199,Prime Video,2016.0,Scott Montoya,Brad Williams,1.99
1737,Khumba,4.4,423,Prime Video,2013.0,Anthony Silverston,"Jake T. Austin,Steve Buscemi,Laurence Fishburne",1.99
1739,The Eight Hundred,4.0,3041,Prime Video,2020.0,Hu Guan,"Zhi-zhong Huang,Hao Ou,Wu Jiang,Yi Zhang",1.99
1741,The Pink Panther,4.6,3466,Prime Video,2006.0,Shawn Levy,"Steve Martin,Kevin Kline,Jean Reno,Emily Mortimer",1.99
1742,All About My Mother,4.7,927,Prime Video,2000.0,Pedro Almodovar,"Marisa Peredes,Penelope Cruz,Candela Pena",3.59
1743,All of Me,4.6,1322,Prime Video,1984.0,Carl Reiner,"Steve Martin,Lily Tomlin,Richard Libertini",3.59
1744,Where the Red Fern Grows,4.8,1568,Prime Video,1974.0,"Jim McCullough Jr.,Norman Tokar","James Whitmore,Beverly Garland,Jack Ging",1.99
1745,Crooklyn,4.8,4268,Prime Video,1994.0,Spike Lee,"Alfre Woodard,Delroy Lindo,David Patrick Kelly",3.59
1746,Billy Two Hats,4.0,85,Prime Video,1974.0,Ted Kotcheff,"Desi Arnaz Jr.,Gregory Peck,Jack Warden",3.59
1747,Fire With Fire,4.3,1095,Prime Video,2012.0,David Barrett,"Josh Duhamel,Rosario Dawson,Bruce Willis",3.99
1748,Pigs,5.0,2,Prime Video,1973.0,Marc Lawrence,"Jessy Vint,Tony Lawrence,Catherine Ross",3.99
1749,The Secret Life of Pets 2,4.7,33504,Prime Video,2019.0,Chris Renaud,"Kevin Hart,Harrison Ford,Patton Oswalt",3.99
1750,Baby Boom,4.8,3852,Prime Video,1987.0,Charles Shyer,"Diane Keaton,Sam Shepard,Harold Ramis,Sam Wanamaker",3.89
1751,House of the Rising Sun,4.1,289,Prime Video,2011.0,Brian A. Miller,"David Batista,Amy Smart,Danny Trejo,Dominic Purcell",3.79
1752,Noble Intentions,4.4,7,Prime Video,2023.0,James C. Turner,"Obba Babatunde,Aaron D. Spears",3.79
1753,Field Of Honor (1986),4.3,3,Prime Video,1987.0,Hans Scheepmaker,"Frank Schaafsma,Guus Van Der Made",3.79
1754,Young Guns II,4.7,5329,Prime Video,1990.0,Geoff Murphy,"Emilio Estevez,Kiefer Sutherland",3.59
1755,The Ash Lad: In Search of the Golden Castle,4.1,1034,Prime Video,2017.0,Mikkel BrÃ¦nne Sandemose,"VebjÃ¸rn Enger,Eili Harboe,Mads SjÃ¸gÃ¥rd Pettersen",3.59
1756,Murder on the Orient Express,4.6,3507,Prime Video,1974.0,Sidney Lumet,"Albert Finney,Lauren Bacall,Martin Balsam",3.29
1757,Go to School and Learn with Blippi,4.3,12,Prime Video,2014.0,Stevin John,Stevin John,1.99
1758,Super 8,4.6,6571,Prime Video,2011.0,J.J. Abrams,"Elle Fanning,Kyle Chandler,Joel Courtney",3.79
1759,Armored,4.4,584,Prime Video,2009.0,Nimrod Antal,"Matt Dillon,Jean Reno,Laurence Fishburne",3.99
1760,What Haunts Us,4.2,414,Prime Video,2018.0,Paige Goldberg Tolmach,"Eddie Fischer,Guerry Glover,Mackie Krawcheck",0.99
1761,Greyson Family Christmas,4.0,103,Prime Video,2019.0,Lisa France,"Robinne Lee,Stan Shaw,Kalilah Harris,Karson Kern",0.99
1762,Brad Williams: Daddy Issues,4.4,199,Prime Video,2016.0,Scott Montoya,Brad Williams,1.99
1764,The Virgin Suicides,4.4,1422,Prime Video,2000.0,Sofia Coppola,"James Woods,Kathleen Turner,Kirsten Dunst",1.99
1765,The Breed,4.1,417,Prime Video,2007.0,Nicholas Mastandrea,"Michelle Rodriguez,Oliver Hudson,Taryn Manning",1.99
1766,Gray Matter,4.0,5,Prime Video,2023.0,Meko Winbush,"Mia Isaac,Jessica Dukes,Andrew Liner,Garret Dillahunt",1.99
1767,Switchback,4.5,1066,Prime Video,1997.0,Jeb Stuart,"Dennis Quaid,Danny Glover,Jared Leto,R. Lee Ermey",3.79
1768,Tremors,4.7,9777,Prime Video,1990.0,Ron Underwood,"Kevin Bacon,Fred Ward,Finn Carter",3.79
1769,Fantastic Beasts: The Crimes of Grindelwald,4.7,1111,Prime Video,2018.0,David Yates,"Eddie Redmayne,Katherine Waterston,Alison Sudol",3.79
1770,Dr. Seuss' The Lorax,4.8,20625,Prime Video,2012.0,Chris Renaud,"Danny DeVito,Ed Helms,Zac Efron,Taylor Swift",3.79
1771,Pain & Gain,4.4,12466,Prime Video,2013.0,Michael Bay,"Mark Wahlberg,Dwayne Johnson,Anthony Mackie",3.99
1772,Sleepaway Camp II: Unhappy Campers,4.3,883,Prime Video,1988.0,Michael A. Simpson,"Brian Patrick Clarke,Valerie Hartman",3.99
1773,"I Do, But I Don't",4.1,159,Prime Video,2004.0,Kelly Makin,"Yannick Bisson,Dean Cain",3.99
1774,The Strange Life of Dr. Frankenstein,4.6,14,Prime Video,2018.0,Jean Froment,"Beatrice Cheramy,Fiona Stafford,Dr. Laurent Lantieri",3.99
1775,Everything You Always Wanted To Know About Sex * But Were Afraid To Ask,4.0,692,Prime Video,1972.0,Woody Allen,"Woody Allen,John Carradine,Lou Jacobi,Louise Lasser",3.99
1776,Fool's Gold,4.7,6541,Prime Video,2008.0,Andy Tennant,"Matthew McConaughey,Kate Hudson,Donald Sutherland",3.99
1778,The Perks Of Being A Wallflower,4.7,10244,Prime Video,2012.0,Stephen Chbosky,"Logan Lerman,Emma Watson,Ezra Miller,Mae Whitman",3.99
1779,Fifty Shades of Grey (Unrated Edition),4.5,71931,Prime Video,2015.0,Sam Taylor-Johnson,"Dakota Johnson,Jamie Dornan,Jennifer Ehle",3.79
1780,The Wash,4.7,1665,Prime Video,2001.0,Dj Pooh,"Dr. Dre,Calvin Broadus,George Wallace",3.79
1782,In Bed with a Killer,4.0,40,Prime Video,2019.0,"MarVista Entertainment, Inc.","Jennifer Taylor,Ryan Patrick Shanahan,Al Sapienza",1.99
1783,Blackbird,4.2,4426,Prime Video,2020.0,Roger Mitchell,"Susan Sarandon,Kate Winslett,Mia Wasikowska,Sam Neill",1.99
1784,As It Happened: Tarawa,4.4,66,Prime Video,2020.0,Ashley Gething,Stephen Rasbrook,2.99
1785,THE HUNGER GAMES,4.7,60356,Prime Video,2012.0,Gary Ross,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",3.99
1786,Mary Higgins Clark's: I'll Be Seeing You,4.2,56,Prime Video,2004.0,Will Dixon,"Alison Eastwood,Bo Svenson,Richy Mulller",3.99
1787,Hotel Transylvania,4.8,33545,Prime Video,2012.0,Genndy Tartakovsky,"Adam Sandler,Andy Samberg,Selena Gomez,Kevin James",3.89
1788,The Croods: A New Age,4.7,104063,Prime Video,2020.0,Joel Crawford,"Nicolas Cage,Emma Stone,Ryan Reynolds",3.79
1789,Knocked Up,4.6,6145,Prime Video,2007.0,Judd Apatow,"Jonah Hill,Martin Starr,Paul Rudd,Katherine Heigl",3.79
1790,Live Free or Die Hard,4.7,6400,Prime Video,2007.0,Len Wiseman,"Bruce Willis,Justin Long,Timothy Olyphant",3.79
1791,Blippi's Snowflake Scavenger Hunt,4.2,34,Prime Video,2014.0,---,Stevin John,3.99
1792,Avarice,4.0,702,Prime Video,2022.0,John V. Soto,"Gillian Alexy,Luke Ford,Alexandra Nell,Ryan Panizza",1.99
1793,Mercenary,4.0,53,Prime Video,1997.0,Avi Nesher,"Olivier Gruner,John Ritter,Robert Culp,Ed Lauter",1.99
1794,Dressed to Kill,4.4,1307,Prime Video,1980.0,Brian De Palma,"Angie Dickenson,Michael Caine,Nancy Allen",1.99
1795,Jose Canseco: The Truth Hurts,4.2,63,Prime Video,2016.0,Bill McAdams Jr.,Jose Conseco,1.99
1796,Octopussy,4.6,2079,Prime Video,1983.0,John Glen,"Roger Moore,Maud Adams,Louis Jourdan,Kristina Wayborn",1.99
1797,Rec 2,4.1,267,Prime Video,2009.0,"Jaume BalaguerÃ³,Paco Plaza","Jonathan Mellor,Ã“scar Sanchez Zafra,Ariel Casas",12.99
1798,Late Night,4.1,3705,Prime Video,2019.0,Nisha Ganatra,"Emma Thompson,Mindy Kaling,John Lithgow",12.99
1799,Who Made the Potatoe Salad,4.2,97,Prime Video,2006.0,Coke Daniels,"Jaleel White,DeRay Davis,Eddie Griffin",12.99
1800,Return of Sabata,4.1,93,Prime Video,1972.0,Gianfranco Parolini,"Lee Van Cleef,Reiner SchÃ¶ne,Giampiero Albertini",12.99
